
Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2015-07-06","0","4,019","2.21","3","0","0","0","0","0"
"2015-07-07","0","6,637","3.55","4","0","0","0","0","0"
"2015-07-08","0","4,075","2.43","9","0","0","0","0","0"
"2015-07-09","0","7,361","4.08","5","0","0","0","0","0"
"2015-07-10","0","9,771","4.79","2","0","0","0","0","0"
"2015-07-11","0","5,969","3.18","16","0","0","0","0","0"
"2015-07-12","0","8,167","4.31","10","0","0","0","0","0"
"2015-07-13","0","5,516","3.45","7","0","0","0","0","0"
"2015-07-14","0","3,578","1.9","0","0","0","0","0","0"
"2015-07-15","0","7,016","3.82","9","0","0","0","0","0"
"2015-07-16","0","6,079","3.17","10","0","0","0","0","0"
"2015-07-17","0","6,240","3.32","6","0","0","0","0","0"
"2015-07-18","0","5,800","3.06","15","0","0","0","0","0"
"2015-07-19","0","7,231","3.74","11","0","0","0","0","0"
"2015-07-20","0","6,328","3.53","6","0","0","0","0","0"
"2015-07-21","0","9,350","5.29","8","0","0","0","0","0"
"2015-07-22","0","10,472","5.81","9","0","0","0","0","0"
"2015-07-23","0","7,713","4.48","8","0","0","0","0","0"
"2015-07-24","0","6,810","3.85","7","0","0","0","0","0"
"2015-07-25","0","5,601","3.04","9","0","0","0","0","0"
"2015-07-26","0","5,722","3.13","10","0","0","0","0","0"
"2015-07-27","0","7,586","4.02","12","0","0","0","0","0"
"2015-07-28","0","4,995","2.81","6","0","0","0","0","0"
"2015-07-29","0","5,557","3.08","3","0","0","0","0","0"
"2015-07-30","0","7,203","3.84","5","0","0","0","0","0"
"2015-07-31","0","4,645","2.57","4","0","0","0","0","0"
"2015-08-01","0","5,214","2.89","10","0","0","0","0","0"
"2015-08-02","0","5,983","3.34","6","0","0","0","0","0"
"2015-08-03","0","15,345","8.9","3","0","0","0","0","0"
"2015-08-04","0","25,280","15.1","6","0","0","0","0","0"
"2015-08-05","0","19,451","11.06","8","0","0","0","0","0"
"2015-08-06","0","13,749","7.96","4","0","0","0","0","0"
"2015-08-07","0","15,099","8.7","6","0","0","0","0","0"
"2015-08-08","0","13,667","7.39","6","0","0","0","0","0"
"2015-08-09","0","14,465","8.01","11","0","0","0","0","0"
"2015-08-10","0","15,550","8.9","7","0","0","0","0","0"
"2015-08-11","0","16,389","9.69","4","0","0","0","0","0"
"2015-08-12","0","14,460","8.19","4","0","0","0","0","0"
"2015-08-13","0","19,595","11.31","11","0","0","0","0","0"
"2015-08-14","0","12,324","7.14","10","0","0","0","0","0"
"2015-08-15","0","14,501","8.38","11","0","0","0","0","0"
"2015-08-16","0","10,124","5.72","9","0","0","0","0","0"
"2015-08-17","0","12,065","7.0","9","0","0","0","0","0"
"2015-08-18","0","18,090","10.19","7","0","0","0","0","0"
"2015-08-19","0","14,334","8.44","7","0","0","0","0","0"
"2015-08-20","0","15,912","8.86","6","0","0","0","0","0"
"2015-08-21","0","19,636","11.18","16","0","0","0","0","0"
"2015-08-22","0","15,481","9.22","18","0","0","0","0","0"
"2015-08-23","0","16,342","8.9","11","0","0","0","0","0"
"2015-08-24","0","17,202","9.88","13","0","0","0","0","0"
"2015-08-25","0","13,064","8.15","7","0","0","0","0","0"
"2015-08-26","0","14,006","8.18","6","0","0","0","0","0"
"2015-08-27","0","17,626","11.1","8","0","0","0","0","0"
"2015-08-28","0","16,284","9.56","7","0","0","0","0","0"
"2015-08-29","0","9,535","5.54","6","0","0","0","0","0"
"2015-08-30","0","16,708","9.04","15","0","0","0","0","0"
"2015-08-31","0","15,531","9.34","10","0","0","0","0","0"
"2015-09-01","0","16,424","9.54","10","0","0","0","0","0"
"2015-09-02","0","14,718","8.69","6","0","0","0","0","0"
"2015-09-03","0","17,036","9.58","17","0","0","0","0","0"
"2015-09-04","0","9,324","5.3","4","0","0","0","0","0"
"2015-09-05","0","8,824","4.78","7","0","0","0","0","0"
"2015-09-06","0","10,223","5.7","9","0","0","0","0","0"
"2015-09-07","0","19,235","10.61","9","0","0","0","0","0"
"2015-09-08","0","14,666","8.69","7","0","0","0","0","0"
"2015-09-09","0","9,317","5.43","6","0","0","0","0","0"
"2015-09-10","0","11,789","6.89","3","0","0","0","0","0"
"2015-09-11","0","7,531","4.19","6","0","0","0","0","0"
"2015-09-12","0","16,561","8.72","10","0","0","0","0","0"
"2015-09-13","0","8,243","4.48","5","0","0","0","0","0"
"2015-09-14","0","9,807","5.87","8","0","0","0","0","0"
